x,y,z
304412,3.89284e+06,50.0087
304412,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304411,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304410,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304409,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
304408,3.89284e+06,50.0087
